:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Thu Nov 12 01:00:13 MST 2015
This is week number 10
Working with 16 remaining teams.  20,922,789,888,000 permutations.
0.0003727992% Iteration: 78,000,000. Elapsed: 4 minutes, 25.523 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003775787% Iteration: 79,000,000. Elapsed: 4 minutes, 29.133 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003823582% Iteration: 80,000,000. Elapsed: 4 minutes, 32.975 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003871376% Iteration: 81,000,000. Elapsed: 4 minutes, 36.216 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003919171% Iteration: 82,000,000. Elapsed: 4 minutes, 39.335 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003966966% Iteration: 83,000,000. Elapsed: 4 minutes, 42.451 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0004014761% Iteration: 84,000,000. Elapsed: 4 minutes, 45.580 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0004062556% Iteration: 85,000,000. Elapsed: 4 minutes, 48.703 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0004110350% Iteration: 86,000,000. Elapsed: 4 minutes, 51.812 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0004158145% Iteration: 87,000,000. Elapsed: 4 minutes, 54.966 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0004205940% Iteration: 88,000,000. Elapsed: 4 minutes, 58.027 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0004253735% Iteration: 89,000,000. Elapsed: 5 minutes, 1.174 seconds Best pick: nfl.Pick(iteration:88869233, teams:[ATL, BUF, CHI, CIN, GB, HOU, MIA, TEN, CLE, SF, JAX, STL, OAK, PHI, DAL, IND], total:962.0)
0.0004301530% Iteration: 90,000,000. Elapsed: 5 minutes, 4.292 seconds Best pick: nfl.Pick(iteration:88869233, teams:[ATL, BUF, CHI, CIN, GB, HOU, MIA, TEN, CLE, SF, JAX, STL, OAK, PHI, DAL, IND], total:962.0)
